content,score,sentiment,predicted_sentiment,appVersion
it won't let me make an account I did everything it still won't let me make it I had it before It was good but I can't make it but I'm doing my rating on how I had it before,5,Positive,Negative,
world 🌍 best music 🎶 app 🌷,1,Negative,Positive,9.1.62.1601
ads are disruptive to listening,4,Positive,Negative,9.1.62.1601
I think you shouldn't have a certain amount of times that you csn pick songs without subscribing and paying for the app,4,Positive,Negative,9.1.62.1601
ganda,1,Negative,Positive,
"plz Spotify don't force us to get a premium, than this app is really good",1,Negative,Positive,9.1.62.1601
The endless ads hurt.,4,Positive,Negative,9.1.62.1601
Bruh upgrade your shuffling algorithm. I have 200 songs in my playlist but still keep listening to those 10-20 songs.,4,Positive,Negative,9.0.94.274
👎👎,1,Negative,Positive,
Spotify ads not interested,5,Positive,Negative,
it kept loading and never opening,4,Positive,Negative,9.1.62.1601
adds extremely annoying,5,Positive,Negative,9.1.62.1601
I actually prefer this over youtube.,5,Positive,Negative,9.1.62.1601
too many ads,4,Positive,Negative,9.1.62.1601
ഉടായിപ്പ്🤨,1,Negative,Positive,9.1.44.2120
"sering-sering adain paket premium bulanan murah deh, biar aku bisa langganan terus:)",5,Positive,Negative,9.1.60.1970
"Great for listeners, you can get almost everything about music here. For musicians and creators the worst. Unfair and just another clear example of how the music industry used and exploited musicians and singers. Tre American Dream representation.",5,Positive,Negative,9.1.62.1601
good and easy to find the song but those adds comes after every single song and the adda will be continuing for 120s which is basically 2 minutes that makes me feel like I'm here to listen adds not music it's fine to have adds but literally not after every single song bruhh,2,Negative,Positive,
"Spotify is alright, but everytime I try to change music, I have to pay premium, and my crossfade setting is gone.",4,Positive,Negative,9.1.62.1601
i need help with sharing liked playlist with discord friends on shuffle..this was posted jan 22 2026 and still hasn't been fixed,5,Positive,Negative,9.1.62.1601
"bagus, sayange ke kikir, ke kikir aku yo dadi fakir",4,Positive,Negative,
why so many ads bro,4,Positive,Negative,9.1.62.1601
"Not able to add songs to liked songs play list. cleared cache, updated songs. songs around 500 in liked songsPlaylists and podcasts are well curated. But a commercial popping up in between meditation, not pretty.",4,Positive,Negative,9.1.62.1601
I love the music and the variety.. but lately the app itself is a problem. 1st I had to get rid of the small widget and now it keeps telling me it's trying to play even though it is. And that's when it's not telling me it's offline even though I have full service! Had this app for years and don't want to lose all my music but that's really annoying!!,4,Positive,Negative,9.1.62.1601
Recently been having an issue of not being able to play songs. The first song I pick won't ever work. I pick a different song and it works. I have to close out of the app and give it a minute before I can go back to that first choice song pick for it to work. This has been happening very often lately with any random song. It doesn't make any sense but sounds like it needs a bug fix.,4,Positive,Negative,9.1.62.1601
very stingy,4,Positive,Negative,9.1.62.1601
plsss remove the premium because for changing songs also we need to pay ? it's tooo much,5,Positive,Negative,9.1.62.1601
"It was great but well, every 30 to 45 sec ad between two songs",5,Positive,Negative,9.1.62.1601
"Spotify is a terrible app, mine just started going off whenever I enter till now, uninstalled and installed a lot too.",5,Positive,Negative,9.1.58.1567
"Why does the songs in this app stop on there own. after playing them repeatedly for 2 times they still stop in between. worst experience edit : glad you replied, the has been fixed",4,Positive,Negative,9.1.62.1601
"Recently I had to switch the widget from the old one to the most recent version and have been noticing issues. For the first issue the widget takes you to the last played Playlist instead of taking you to the app directly if you want to listen to something else instead. For the second issue I have been noticing is that if the widget or Spotify itself is not used for a bit the text, ""Spotify is currently offline, tap to refresh."" which does nothing. I have to open the app in my menu instead.",4,Positive,Negative,9.1.60.1970
I am reinstalling it because it wasn't opening,5,Positive,Negative,9.1.62.1601
too many adds,4,Positive,Negative,9.1.60.1970
"05/2024 I have a 5 minute drive to work. I listen to Spotify going to and coming from work. I can listen to 1 song and then I get 2 minutes (max) of ads. 13 hours in between each drive I don't listen cuz I'm @work. So, unfortunately, the algorithm thinks it needs to do more advertisements. So, I get 2 songs and 4+ ads. 😕 06/26 Nothing to say, except it's the same. 😩 Open app when I get in the car.1 song, 3-4 ads. 2 songs, 3 as. And they're always the SAME",4,Positive,Negative,9.1.62.1601
It's an amazing but too many adds,2,Negative,Positive,8.8.44.527
ok,2,Negative,Positive,9.1.62.1601
Very bad app because for listening ofline songs we give money,4,Positive,Negative,
DudeI don't know why but when i'm listening to music I fall asleep,5,Positive,Negative,9.1.62.1601
new widget doesn't work on my phone.,5,Positive,Negative,9.1.62.1601
too many damn updates,4,Positive,Negative,9.1.60.1970
so many ads,4,Positive,Negative,
"Grundsätzlich gut, allerdings muss ich die app immer mal wieder neu 
installieren da offline gespeicherte songs nicht mehr gelöscht werden 
können, man kann sie zwar als ""nicht mehr offline speichern"" markieren, der 
speicher bleibt aber belegt. Das Problem besteht seit schon seit Jahren.",5,Positive,Negative,9.1.62.1601
subscription so expensive,4,Positive,Negative,9.1.62.1601
nice app but they have to many ads,1,Negative,Positive,9.1.62.1601
Daa beshh broo,5,Positive,Negative,9.1.62.1601
gut,5,Positive,Negative,9.1.62.1601
too many ads for premium,4,Positive,Negative,9.1.62.1601
"I need this feature..... something similar to watch later in the YouTube, I need ""Listen Later"". A playlist which upon playing a song will display three options 1. Add Song to a playlist 2. Remove from Listen Later 3. Keep in Listen later whenever I scroll through songs I feel to listen later but never wanted to add to a playlist before listening to it fully",4,Positive,Negative,
"After many updates it started to be really good, the new widget though is really annoying. It loads itself constantly and I cannot just click it to open the app. I liked the old one, it was simple and functional BUT OBVIOUSLY after 1 minute of presence on the home screen it turns itself off and forces me to switch onto new one. Thanks for nothing",4,Positive,Negative,9.1.62.1601
"I enjoy the app. Chilling with my Playlists. Since the recent update, the app has been slow. Slower that usual and it crashes alot. I believe it may be a bug.",5,Positive,Negative,9.1.62.1601
most of features that are important are inn premium,1,Negative,Positive,9.1.60.1970
hii app iko vizuri sana iko fasta na ukiserch unapat kitu sahihi,5,Positive,Negative,9.1.62.1601
not Apple,4,Positive,Negative,9.1.60.1970
ads all time,5,Positive,Negative,9.1.60.1970
mau iklannya ada 100 kali juga gua rasa gabakal gua beli jg premium.,4,Positive,Negative,
OO NA GANDA NA,5,Positive,Negative,9.1.60.1970
"Shuffle could be improved. It will play the same ""randomized"" songs in a row on my phone, then my computer, then my PS, even when the first played song is different. This is not shuffle to me. I like the smart shuffle for introducing new songs but it ends up playing more songs not saved to the playlist that I selected...I'm still trying to listen to those too.",4,Positive,Negative,9.1.60.1970
ads are disterbing element,4,Positive,Negative,
I was able to listen while my phone was off plus adds ate evenly spaced so it's not a ad for every song,5,Positive,Negative,9.1.62.1601
"For Collaborative songlists, please allow us to sort or group by collaborator using the sort menu on the mobile app. It's a hassle to have to use the desktop app to do so.",4,Positive,Negative,9.1.62.1601
ek problem hai jab tum bari bari song change karo ge or queen pe to ye subscription magne lag jata hai,4,Positive,Negative,9.1.62.1601
lo tengo hacen años y NO me arrepiento. recomiendo 150%,5,Positive,Negative,9.1.62.1601
It is good but it deleted it's all songs and can pause it's self I don no what's the problem and can take whole hour to load or not load at all,4,Positive,Negative,9.1.58.1567
"Hamburger menu on each playlist item should extend to the far right from hamburger icon to border, ie the icon and black space . This would allow for a not perfect touch to still activate the options list.",4,Positive,Negative,9.1.62.1601
Premium is great but the free version sucks.,5,Positive,Negative,9.1.60.1970
premuim da best🤤,5,Positive,Negative,9.1.62.1601
app is very bad 👎 Asa lag tha ha ki ap na nassha kar liyo agar ap ka pass premium Nahin Hai To ya app ap ka kisi kam ka nhi ha,5,Positive,Negative,
why not.,5,Positive,Negative,9.1.62.1601
it's gat all i need🙂‍↔️,5,Positive,Negative,9.1.44.2120
"The app would not work on my old phone anymore. Got a new phone. Works on the new phone, but connectivity is not great. For some reason, the app needs pretty good service.",4,Positive,Negative,9.1.62.1601
boojie,5,Positive,Negative,9.1.60.1970
lo utilizo en otro celular con parlante,5,Positive,Negative,9.1.60.1970
"Spotify itself is a great service, and the app has definitely made improvements over the years. simultaneously, the app has somehow gotten worse in ways. mainly a newish update with the widget. half the time when you're not actively using the app, the widget says ""offline, tap to reconnect"" and nothing happens. you can no longer tap the widget to open up the app; what's the point of the widget, then?",4,Positive,Negative,9.1.62.1601
music. yes love it. ads. get out of my life ..,5,Positive,Negative,9.1.60.1970
"Hey There, I Was Using Spotify For Over For 2-3 Years But One Feels Missing Like Now Without My Subscriptions Feel Like That song Came In Ad When I Forgot to Buy Subscription. By the way Expreience little Bit Good better than other app.",4,Positive,Negative,9.1.44.2120
the best i recommend removing adds for every one because people listen to music for forgetting something and a sudden a add just maka it even worse easpacialy for teens girl and I exppirrienced that,5,Positive,Negative,9.1.60.1970
dependable,2,Negative,Positive,9.1.60.1970
I wish they went back to the original ai DJ it was amazing on first release. They later started pushing devil worship music and low frequency artists. IYKYK,4,Positive,Negative,9.1.60.1970
Used to be really good but latest update removed lyrics and it seems to be a common issue.,4,Positive,Negative,9.1.62.1601
wished they stopped interupting ads just so we can buy premium 🙏🙃💸,5,Positive,Negative,9.1.62.1601
songs are not coming well after I used so many times is still not working,4,Positive,Negative,9.1.62.1601
it doesn't show me the lyrics to some songs,5,Positive,Negative,9.1.62.1601
ad,4,Positive,Negative,9.1.60.1970
not bad 🫤,2,Negative,Positive,9.1.62.1601
bz ads are to much even I listen 2 songs and end up with 10 ads,4,Positive,Negative,
"Don't be on drugs, putting premium on downloads, and Ad Blockers makes sense and is Okay, but putting premium on ordered play is too much, I don't want to be stuck in the shuffle mode forever, remove the premium from the ordered play right now. or else I'm deleting the app. if you want to monetize a better way, try promoting the ad blocker premium and the download premium, because putting premium on ordered play, this is not a Good way to monetize. it spoils all fun from those with no Gpay accou",5,Positive,Negative,9.1.62.1601
best app,1,Negative,Positive,
super,1,Negative,Positive,9.1.62.1601
add an option to end sleep timer when the playlist ends. 1 hr sleep timer is too short.,4,Positive,Negative,
hate the fact that you can't get rid of unwanted podcasts,4,Positive,Negative,9.1.60.1970
"honestly a good music experience only wish they could bring the platinum features to the standard premium like with apple music eg, AI dj, lossless etc having to pay for family just to get those is kind of a bummer",4,Positive,Negative,9.1.62.1601
"even though i love using spotify for its music it for some reason just, stopped working for me and then told me it was a premium feature to even play music to begin with. and before you tell me to reinstall i have. i had cleared the cache and checked if there was a solution to my problem but there wasnt. im going to wait to see if the problem fixes it self but while i wait im switching music platforms. edit: ive waited 4-5 hours it now works normally",4,Positive,Negative,9.1.62.1601
DESERVE FOR MAKING DOWLOAD FREE AGAIN,5,Positive,Negative,9.1.62.1601
sometimes my Spotify doesn't want to work for no reason,5,Positive,Negative,9.1.62.1601
better than ever,2,Negative,Positive,9.1.52.1394
"been apart for almost 10 years it's a great app I used to be able to say it was reliable too, but now it won't even open often just a black screen. aside from that I enjoy Spotify!",4,Positive,Negative,9.1.62.1601
Spotify give me a goosebumps for any mood,5,Positive,Negative,9.1.62.1601
Baycot this aap,5,Positive,Negative,8.9.94.470
when I open this app I live in another world,4,Positive,Negative,9.1.62.1601
ads too much,4,Positive,Negative,9.1.60.1970
"Total 57000 minutes my speakers were busy making noice using Spotify, 2,007 minutes listend to music and rest were ads🔥🔥🗣️. Get 30 minutes of uninterrupted listening. Ad on it's way as soon as you restart the app🔥🔥",5,Positive,Negative,9.1.60.1970
Could have been perfect for music enthusiast not anymore. It use to be good but this didn't live up to expectations. Did it?,5,Positive,Negative,9.1.60.1970
playing a game while listening a song.,5,Positive,Negative,
Too much resteictions...,4,Positive,Negative,9.1.62.1601
"You can't repeat the same song again. Please fix it, please.",4,Positive,Negative,9.1.62.1601
"THEY TOOK MY UNLIMITED SKIPS AND MY QUE PRIVILEGES AWAY FROM ME, I HAD THEM FOR MONTHS WITHOUT PREMIUM. GIVE THEM BACK SPOTIFY 😭✌",4,Positive,Negative,9.1.62.1601
best for atomic selection 👌,1,Negative,Positive,9.1.56.574
Download option isn't available for all songs.,4,Positive,Negative,9.1.60.1970
after commercials music seems to stop and I have to stop working to deal with getting music back on not sure if app or my phone but Spotify isn't like it used to be can't make a playlist anymore a subscribed coworker wasn't happy about that also. but not a bad app.,4,Positive,Negative,9.1.62.1601
this app does not play offline music,5,Positive,Negative,
Better than Amazon music,2,Negative,Positive,
ads bohot hai baki sab thik,5,Positive,Negative,9.1.52.1394
exiting,5,Positive,Negative,9.1.62.1601
bring back the old widget please,4,Positive,Negative,9.1.62.1601
Without premium you can't get the full quality of real music listening from this platform !!,4,Positive,Negative,9.1.60.1970
Spotify es Spotify y lo demás es parking 🦁💜,5,Positive,Negative,9.1.60.1970
asking for payment,4,Positive,Negative,
👎,1,Negative,Positive,9.1.60.1970
very disappointed😞,1,Negative,Positive,9.1.62.1601
"I hope the standard premium price for 1 month becomes 50,000",4,Positive,Negative,9.1.62.1601
"New update has broken the selection process Cant play a song from the middle of a playlist. Whenever any song from a playlist made by any user is selected, the selected song does not play but the first song from the playlist starts playing. Please see for remedial action",4,Positive,Negative,9.1.62.1601
when I am sad used to listen songs 🎵,5,Positive,Negative,9.1.58.1567
"request dong, bisa ganti tema warna warni di spotify nya, tolong yah developer",5,Positive,Negative,9.1.52.1394
good 👍,1,Negative,Positive,9.1.58.1567
if you love choose ads choose this,5,Positive,Negative,9.1.56.574
"aku gatau kenapa dulu pas baru download apk nya baguss cm skrng banyak bngt musik yng ga ada liriknyaa padahal sebelum""nya ada +kl yng gratis IKLANNYA BANYAK BNGT.... trs banyak bngt lagu rekomendasi yng diluar playlist...",5,Positive,Negative,9.0.0.487
"There is an annoying bug for podcasts: Often, instead of the video, the transcript is shown :( the button for switching back and forth between video and audio does nothing. I am confident there is a video for those podcasts; There are yt uploads and I can often see the video in spotify for a short time before it disappears. restarting the app does not help.",4,Positive,Negative,
on to hota nahi fir bhi rating de Raha hu,5,Positive,Negative,9.1.60.1970
today 25th June 2026 my Spotify app was telling me to use premium option but I can't pay to use it so I recommended to not use premium 1 please don't do again,4,Positive,Negative,
The one music player that rules. Dont mess it up with more bloating....,4,Positive,Negative,9.1.60.1970
Premiumunuz yoksa dinlediğinizden bir zevk alamazsınız ama premiunuz varsa müthiş müthiş müthiş spotify yani ne diyebilirim ki harika,5,Positive,Negative,9.1.60.1970
"Spotify is great, my main streaming app but my problem is the ads💔 I understand we need ads, but the frequency of the ads is my problem. I listen to like, two songs, TWO SONGS and im bombarded woth three or maybe even 4 ads💔 PLEASE spotify stop treating free users like this😭😭🙏🙏🙏 also whats with us not being able to choose what song we want to play after a certain amount??? ISNT THATS THE WHOLE POINT OF SPOTIFY??",4,Positive,Negative,9.1.60.1970
There is no other apps to takeover this one and one of the best auto play suggestions ..✌️,5,Positive,Negative,
"doesn't waste your time like YouTube music. you want music, you get music. no bulls",5,Positive,Negative,9.1.60.1970
"Best app for music, but ready for ads if u r not premium, also can't get unlimited skips or play ur fav part untill u r on windows or premium membership. But then also it's best music app I ever saw, also it's premium is not too much, price is just you waste on all ur junk food in a day.",5,Positive,Negative,9.1.60.1970
"What kind of thing is this ?? Why the songs in my playlist are getting disappeared??? I need the playlist back ,,, And what kind of advertisements that does not make sense. Just put annoying ads in between so that people will buy your premium service, so that you can scrape money out of people.Is that the thing you do ??? Well if you don't wanna provide free service with ads just don't . Make it a fully paid service.. I took the subscription, you better don't disappoint",4,Positive,Negative,9.1.60.1970
"I already reported the black screen bug, but now there's another issue. I reinstalled Spotify and signed into the same Google account. My playlist is still there, but all 400+ songs disappeared, and every song says ""You've discovered a Premium feature!"" I'm only visiting another country for a month, so I don't know if it's a bug or region issue. Please fix this. it is a very nice app, its just the bugs that makes the app a bit more annoying.",4,Positive,Negative,9.1.60.1970
"Never had a problem with spotify until they added the new widget for your home screen. I liked the original because it didnt take much space but forcing us to use the new one which is twice as big and doesnt even work? Good job. Two useless widgets. Wouldve been fine to just add a second option but nope, they have to be controlling dicks. Also pay for premium through student discount, so I don't have as many issues with the constant price hike for 0 advancements with the app. Pure BS.",4,Positive,Negative,
to many ads.,5,Positive,Negative,9.0.62.622
"new interface under android auto, is better, finally I have buttons for prev, back, pause, favorite on/off, random AI... No need to change pages to add a song to favorite or remove while driving. thanks.",5,Positive,Negative,9.1.60.1970
better,5,Positive,Negative,9.1.60.1970
No hay día que no entre a esta aplicación 🦆,5,Positive,Negative,9.1.60.1970
"they are keep making it for only those who can buy subscription although I like the app but they should make it like before and should add more school like saraswati aanchal school, etc. so people can buy students Subscription",5,Positive,Negative,9.1.60.1970
"The ad experience has become incredibly frustrating. It used to be a single 20-24 second ad, but now I’m getting back-to-back ads totaling 40 seconds or more. It’s making the app feel boring and annoying to use. This jump in ad time is way beyond expectations and is ruining the listening experience. If this isn't balanced better, I’ll be forced to uninstall.",5,Positive,Negative,9.1.60.1970
"kualitas suara oke, ada bbrp koleksi yg tdk bisa saya temukan disini,",5,Positive,Negative,
like the app I don't like that it has soooo manyy ads and u cant skip like whattt if the ad is Long than 7 sec i need to have the skip button,4,Positive,Negative,9.1.60.1970
😡,1,Negative,Positive,
اخه ما ایرانیا های بد بخت چه گناهی کردیم که نمیتونیم اهنگ گوش بدیم همچیه اسپاتیفای پولی شده مشکل ما پولش نیست مشکل اینه که نمیتونیم خرید کنیم یه کاری کنید همه بتونن استفاده کنن واقعا متاسفم براتون,1,Negative,Positive,9.1.60.1970
"कुछ सफर मंज़िल से नहीं, एहसासों से यादगार बन जाते हैं... और संगीत उनका सबसे अच्छा साथी होता है। 😊🎶",5,Positive,Negative,9.1.60.1970
प्रीमियम मत रखा करो,5,Positive,Negative,9.1.60.1970
damn,5,Positive,Negative,9.1.60.1970
"Terrible, made me cry.",5,Positive,Negative,
"the shuffle doesnt work properly, whenever I click it does do that to the songs but it's the same shuffle every time, the same order and after 30 songs it replays the shuffle even if a playlist has 500 songs in it",4,Positive,Negative,9.1.60.1970
too expensive,5,Positive,Negative,9.1.60.1970
"Don't know why but lately the app has been experiencing issues while in use. (Not responding, getting hung up, self force closing, persistently throwing me the option to ""wait or close"" repeatedly. Clearing the cache seems to not be helpful. Wondering if I should reinstall. Even lost my entire library. Phone heats up and rapidly drains the battery.",4,Positive,Negative,9.1.60.1970
i have a free account with spotify but every month my bank account is debitet with R65.99 and i do not know how to stop this.,5,Positive,Negative,9.1.60.1970
Toooooo many ADS they force u to buy premium,4,Positive,Negative,
It is not free,4,Positive,Negative,9.1.60.1970
Padu,5,Positive,Negative,9.1.60.1970
"premium berarti kalah, akan gwe hadapi 7 iklan itu😏",5,Positive,Negative,
spotifu so obsessed with premium,1,Negative,Positive,8.7.2.1205
need premium for my phone,4,Positive,Negative,9.1.60.1970
Who the hell asks for money for lyrics😤,5,Positive,Negative,9.1.56.574
everytime they asked me to join premium & I don't know how they just say this card is expired,5,Positive,Negative,9.1.60.1970
paid subscription 🔥 get one 🫡,5,Positive,Negative,9.1.60.1970
I don't like the fact that i can't delete my recent tab.,4,Positive,Negative,9.1.60.1970
First class.,5,Positive,Negative,9.1.60.1970
it has many adds,4,Positive,Negative,9.1.52.1394
I LOOVEE this app lowkey... just wish I could put episodes on repeat ... ☹️💔,5,Positive,Negative,9.1.60.1970
waah,5,Positive,Negative,9.1.60.1970
Gives me chill vibes pure therapy,1,Negative,Positive,9.1.56.574
"everything is good, but the new widget is terrible!! it never works!",4,Positive,Negative,9.1.60.1970
"This has so many more songs than Pandora. My parents paid for premium, so I don't know what the free version is like, so this is probably a bit biased. Zero ads for me, so many songs to choose from, but there are two major problems. 1. I don't know if this really has podcasts as the name suggests. 2. They should make an option to allow some songs with bad words, or make an exception for bad words. Because one of my favorite songs was supposedly explicit, even when it only had 1 minor bad word.",5,Positive,Negative,9.1.60.1970
i didn't gave 1 star cause we need subscription for some things,4,Positive,Negative,9.1.60.1970
please let me hear the songs I want to hear,2,Negative,Positive,
It doesn't get better than this.👌,5,Positive,Negative,9.1.60.1970
works pretty well but with the latest update I have seen it's been lagging and the the new widget doesn't work.,4,Positive,Negative,9.0.78.1116
"I am poor. I wish they could only put one ad, but otherwise, it's a good app for listening to the songs that I desire.",5,Positive,Negative,9.1.60.1970
Dude fix your shuffling algo!,4,Positive,Negative,
"I have had a premium plan for about 5 yrs now and have always loved it but since the last update, it won't auto okay in my car anymore. I have to take my phone out of my purse, go to the app, open the library and then start a song. Kinda defeats the purpose and not good for safe, handsfree driving anymore. I won't be purchasing the premium plan anymore unless they fix this before the next billing cycle.",5,Positive,Negative,9.1.60.1970
"Paid for premium because I don't want any advertisements but somehow there is still advertisement in between the podcast. Are you for real? Like if there's still advertisements in between then why people still sign up? And also, paid premium and still have certain songs or podcast that requires you to pay additionally to access them, like is the amount we're paying ain't enough?",4,Positive,Negative,9.1.60.1970
widget isn't working,4,Positive,Negative,9.1.60.1970
the only drawback is frequent ads and songs will not come in order,4,Positive,Negative,
I Want Custom on Sleeping Timer ⌛.,5,Positive,Negative,9.1.60.1970
some songs was not available on app,4,Positive,Negative,9.1.60.1970
ok,1,Negative,Positive,
"El audio se corta repetidamente al punto de no poder escuchar ni una sola canción cuando bloqueo la aplicación. Cabe recalcar que llegue a la conclusión de que la aplicación es el problema ya que lo hace con varios audífonos y con ningún otro reproductor o aplicacion sucede, puedo estar viendo una película y el audio va bien, por lo tanto ni los audífonos ni el dispositivo es. Resuelvan el problema ya que es injusto que les estoy pagando un servicio que no funciona adecuadamente.",5,Positive,Negative,9.1.60.1970
"if you don't pay the app money, they will be a lot of ad , and don't have a lot of things",4,Positive,Negative,9.1.52.1394
its good but I don't want premium and it ruins my experience,4,Positive,Negative,9.1.60.1970
Spotify playlist be jamming,5,Positive,Negative,9.1.60.1970
"it always worked fine until a day or so ago. now all I get is a black screen, no music",4,Positive,Negative,9.1.60.1970
great but is there anything I can do to make the app go faster? it has been incredibly sluggish lately. I turned off all video stuff and it's still slow.,5,Positive,Negative,9.1.50.1906
terlalu banyak iklan,4,Positive,Negative,9.1.42.2058
Too much adverts,5,Positive,Negative,9.1.60.1970
just use SoundCloud,1,Negative,Positive,9.1.60.1970
Nice app,1,Negative,Positive,
audio quality could be better if you dont have premium app is not worth it,4,Positive,Negative,9.1.60.1970
.... literally no words. the downloads said it all,5,Positive,Negative,9.1.56.574
It so good,1,Negative,Positive,9.1.60.1970
Best put decrease your subscription to 900 back pls 😭😭,5,Positive,Negative,9.1.58.1567
well overall its okay..but it adds songs that I dont even add..and 6 skip per hour sucks,5,Positive,Negative,9.1.60.1970
good,1,Negative,Positive,9.1.60.1970
first class site,5,Positive,Negative,9.1.60.1970
my favorite next in que came within sec without typing after 1 or 2 songs 🎵 and don't want to do anymore struggle for tying,5,Positive,Negative,9.1.60.1970
up to five ads in a row is crazy,4,Positive,Negative,9.1.60.1970
too many Russian bots in the comments.,4,Positive,Negative,9.1.60.1970
because of ads I HATE THEM PLEASE STOP,4,Positive,Negative,
ads are to relevant and just disturbs the flow of it this is the only thing which I hate about Spotify people who don't have the premium are not able to listen to music in their own way they should lessen the ads for those who don't have premium.,4,Positive,Negative,9.1.60.1970
I love Spotify music and jazz music,2,Negative,Positive,9.1.60.1970
good music just way too many ads every other song was three ads,4,Positive,Negative,9.1.60.1970
No premium benefits freely,4,Positive,Negative,9.1.60.1970
nice,1,Negative,Positive,
show ads after 8 song 🎵 🎶 🎵,5,Positive,Negative,9.1.50.1906
only adds problem,5,Positive,Negative,9.1.52.1394
"Spotify has a great music library and a user-friendly interface, making it easy to discover and enjoy music. However, the free version has far too many ads. The advertisements are too frequent and interrupt the listening experience, making it frustrating to use. Reducing the number of ads or spacing them out better would greatly improve the app. Overall, it's a good platform, but the excessive ads are a major downside.",4,Positive,Negative,9.1.60.1970
bad 👎 experience,5,Positive,Negative,9.1.52.1394
