topic_label,review_count,avg_star_rating,frequency_score,severity_score,trend_score,priority_score,rank,recommended_action
Offline Mode Not Working,163,1.8404907975460123,0.031848378272762795,0.7898773006134969,0.008394543546694649,0.25456628802976944,23,Investigate and monitor
Skip Limit on Free,59,1.728813559322034,0.011527940601797577,0.8177966101694916,0.0036726128016789086,0.25183747591208205,24,Investigate and monitor
App Slowness and Lag,117,1.829059829059829,0.022860492379835874,0.7927350427350428,0.011017838405036727,0.25145432669143813,25,Investigate and monitor
False Offline Status,124,1.8306451612903225,0.02422821414615084,0.7923387096774194,0.005246589716684155,0.25086503791963805,26,Investigate and monitor
Poor Music Recommendations,30,1.7333333333333334,0.005861664712778429,0.8166666666666667,0.0015739769150052466,0.24824562773939027,27,Investigate and monitor
Audiobook Issues,97,1.8350515463917525,0.018952715904650252,0.7912371134020619,0.005771248688352571,0.2480017417106142,28,Investigate and monitor
Free Version Too Restricted,58,1.8448275862068966,0.011332551778038297,0.7887931034482758,0.005246589716684155,0.24335352486683867,29,Investigate and monitor
App Force Closing in Background,30,1.8333333333333333,0.005861664712778429,0.7916666666666667,0.005771248688352571,0.24158508209405974,30,Investigate and monitor
Price Increase Complaints,28,1.8214285714285714,0.005470887065259867,0.7946428571428572,0.0,0.2411283006754871,31,Investigate and monitor
Excessive Ads Frequency,82,1.9390243902439024,0.016021883548261038,0.7652439024390244,0.004197271773347324,0.2384235668605073,32,Investigate and monitor
Queue Management Issues,69,1.9855072463768115,0.013481828839390387,0.7536231884057971,0.0062959076600209865,0.2340870524734385,33,Investigate and monitor
Unwanted Videos on Home Screen,37,2.0,0.007229386479093396,0.75,0.0005246589716684155,0.22871962503388035,34,Investigate and monitor
Playlist Management Issues,89,2.0898876404494384,0.017389605314576007,0.7275280898876404,0.008394543546694649,0.22863213833291904,35,Investigate and monitor
Liked Songs Disappearing,48,2.0625,0.009378663540445486,0.734375,0.0026232948583420775,0.22552649074189116,36,Investigate and monitor
Missing New Releases Feature,49,2.061224489795918,0.009574052364204768,0.7346938775510204,0.0005246589716684155,0.2253001212417422,37,Investigate and monitor
Missing Lossless Audio,24,2.2083333333333335,0.004689331770222743,0.6979166666666666,0.0005246589716684155,0.21182459767944503,38,Investigate and monitor
Cannot Reorder Playlist,42,2.3333333333333335,0.008206330597889801,0.6666666666666666,0.004197271773347324,0.20494261965361435,39,Investigate and monitor
Missing or Wrong Lyrics,75,2.453333333333333,0.014654161781946073,0.6366666666666667,0.005771248688352571,0.19948133062864354,40,Investigate and monitor
